10;AUBE;Braux;103;29;5;1;20;22;3;0;1;0;11;3;8
10;AUBE;Bréviandes;1434;220;20;16;281;410;76;6;8;1;102;27;267
10;AUBE;Brévonnes;515;88;6;12;136;96;25;7;5;0;27;20;93
10;AUBE;Briel-sur-Barse;161;9;1;3;48;56;6;3;1;0;5;7;22
10;AUBE;Brienne-la-Vieille;344;45;5;4;78;84;19;1;2;0;22;2;82
10;AUBE;Brienne-le-Château;2038;423;35;15;392;491;132;16;14;5;117;38;360
10;AUBE;Brillecourt;71;15;0;1;17;17;4;0;0;0;6;0;11
10;AUBE;Bucey-en-Othe;344;45;3;6;62;115;14;3;0;1;25;10;60
10;AUBE;Buchères;1089;137;17;9;219;330;71;5;4;0;78;16;203
10;AUBE;Buxeuil;125;22;0;1;28;55;1;1;0;0;5;1;11
10;AUBE;Buxières-sur-Arce;122;20;0;2;28;41;2;0;0;0;6;2;21
10;AUBE;Celles-sur-Ource;417;56;4;7;55;195;14;2;1;1;27;8;47
10;AUBE;Chacenay;54;8;1;0;5;19;5;0;0;0;6;0;10
10;AUBE;La Chaise;31;1;3;0;9;4;3;0;1;0;4;2;4
10;AUBE;Chalette-sur-Voire;97;8;2;0;32;22;11;3;1;0;8;0;10
10;AUBE;Chamoy;367;41;4;4;91;92;29;1;1;0;24;7;73
10;AUBE;Champfleury;80;19;1;1;23;17;3;1;1;0;3;4;7
10;AUBE;Champignol-lez-Mondeville;252;40;6;3;48;83;17;4;1;1;15;2;32
10;AUBE;Champigny-sur-Aube;67;5;0;0;19;20;3;3;0;0;5;2;10
10;AUBE;Champ-sur-Barse;25;0;0;0;7;10;0;0;0;0;2;1;5
10;AUBE;Channes;113;19;5;0;10;62;1;0;0;0;6;2;8
10;AUBE;Chaource;759;138;9;9;191;201;49;2;2;2;44;11;101
10;AUBE;La Chapelle-Saint-Luc;6448;1402;98;43;977;1020;504;59;29;12;330;79;1895
10;AUBE;Chapelle-Vallon;149;26;5;0;33;25;4;6;1;0;18;2;29
10;AUBE;Chappes;252;44;2;2;49;65;12;3;0;0;27;4;44
10;AUBE;Charmont-sous-Barbuise;689;89;7;4;152;164;39;8;3;0;77;15;131
10;AUBE;Charmoy;54;11;0;0;11;22;1;1;1;0;4;0;3
10;AUBE;Charny-le-Bachot;164;19;2;2;41;63;4;2;1;0;10;1;19
10;AUBE;Chaserey;42;5;1;0;16;8;1;0;0;0;6;0;5
10;AUBE;Châtres;484;91;2;7;102;123;31;5;4;1;37;3;78
10;AUBE;Chauchigny;204;26;3;1;58;49;14;2;1;1;14;3;32
10;AUBE;Chaudrey;118;21;1;1;35;31;8;1;0;0;9;2;9
10;AUBE;Chauffour-lès-Bailly;93;10;3;0;28;24;9;1;1;0;3;1;13
10;AUBE;Chaumesnil;71;10;0;0;27;21;0;0;1;1;2;2;7
10;AUBE;Chavanges;549;119;6;1;153;148;16;2;3;0;29;9;63
10;AUBE;Le Chêne;220;43;4;3;63;57;11;1;0;0;14;1;23
10;AUBE;Chennegy;362;39;7;4;79;96;23;3;2;1;32;3;73
10;AUBE;Chervey;150;10;3;1;30;71;6;4;0;0;9;4;12
10;AUBE;Chesley;288;57;3;1;58;94;15;3;0;0;15;10;32
10;AUBE;Chessy-les-Prés;390;62;5;10;85;104;26;3;1;1;23;11;59
10;AUBE;Clérey;761;84;30;11;224;180;51;2;4;0;45;9;121
10;AUBE;Coclois;123;17;1;0;40;41;3;0;0;0;7;3;11
